subj,PMC,total time,mean x,std x,var x,median x,kurtosis x,skewness x,max x,min x,mean y,std y,var y,median y,kurtosis y,skewness y,max y,min y,mean z,std z,var z,median z,kurtosis z,skewness z,max z,min z,mean Rx,std Rx,var Rx,median Rx,kurtosis Rx,skewness Rx,max Rx,min Rx,mean Ry,std Ry,var Ry,median Ry,kurtosis Ry,skewness Ry,max Ry,min Ry,mean Rz,std Rz,var Rz,median Rz,kurtosis Rz,skewness Rz,max Rz,min Rz,mean tt,std tt,var tt,median tt,kurtosis tt,skewness tt,max tt,min tt,mean tr,std tr,var tr,median tr,kurtosis tr,skewness tr,max tr,min tr
um68_T2,1,311.2125,-1.039630149,0.647975089,0.419871717,-1.3082,-0.969001397,0.82965554,0.0399,-2.09365,-0.578166623,0.369966042,0.136874872,-0.7225395,-0.947159833,0.796358045,0.13442,-1.75956,0.382129848,0.313908873,0.098538781,0.38,-0.779602698,0.156348078,1.8991,-0.1807,0.328618075,0.209194947,0.043762526,0.408518681,-0.961803329,-0.778234293,1.042368774,-0.064844489,-0.71716305,0.452484926,0.204742609,-0.875902409,-0.959663758,0.794533907,0.025770133,-2.123687452,-0.196738767,0.131429698,0.017273766,-0.21440047,-0.278631584,0.262246331,0.020398719,-0.994951718,7.439960446,7.844917811,61.54273547,5.469397023,11.06326002,2.078938914,121.6319725,0,1.291486509,1.481286305,2.194209117,0.944230404,177.600895,8.120009507,42.70433554,0
ut70_T2,1,311.2125,0.097765122,0.147570469,0.021777043,0.0854,-0.516470971,0.024472781,0.4964,-0.3312,-1.005836853,0.44128272,0.194730439,-1.0463,-0.048624043,0.79727862,0.2439,-1.7793,0.752813541,0.410007213,0.168105915,0.83339,-0.355753346,-0.490662846,1.695434,-0.45,0.426601731,0.189266834,0.035821935,0.44089234,-0.359159262,-0.689795689,0.751944958,-0.079046541,0.057427962,0.051600362,0.002662597,0.048574296,-0.483434968,0.487873598,0.19540455,-0.074890147,0.030029519,0.071980841,0.005181241,0.02419743,-0.053654589,-0.146227907,0.210830214,-0.206322477,5.463010372,5.723052399,32.75332876,3.512352269,1.848838608,1.451214157,36.11103086,0,0.07530797,0.075526087,0.00570419,0.040027276,-0.607280348,0.834837356,0.327314358,0
vk04_T2,1,311.225,0.544907861,0.389658443,0.151833702,0.4757,-0.136269914,0.62738621,1.6617,-0.1653,0.318310876,0.159071267,0.025303668,0.3228,0.712454781,-0.655392842,0.7527,-0.2096,-0.338659999,0.147461498,0.021744893,-0.3557,1.143438645,0.901482134,0.1473,-0.7822,-0.133689472,0.063116047,0.003983635,-0.142799321,0.802670028,0.664684202,0.060370031,-0.34379969,0.24051902,0.100748598,0.01015028,0.261865889,0.835202193,-1.112818872,0.435014449,-0.048198541,0.055088093,0.071509786,0.00511365,0.079738677,0.08175276,-0.984119429,0.193891443,-0.160353843,0.862477715,1.445892612,2.090605446,0.276798224,9.293468259,2.883184628,10.32684428,0,0.012163558,0.010723406,0.000114991,0.009611445,3.338642156,1.650173879,0.07059299,0
vq83_T2,1,311.2125,-0.064493517,0.056463421,0.003188118,-0.054776,1.023826852,-0.779797303,0.169174,-0.500706,0.116196208,0.100805374,0.010161723,0.1201415,1.073565424,0.14401623,0.98248,-0.18992,-0.068804171,0.131745285,0.01735682,-0.073665,0.364728723,0.144718584,0.90084,-0.88675,-0.036102622,0.03873105,0.001500094,-0.036223455,2.085933318,-0.301967439,0.079957901,-0.416829703,-0.072960791,0.043816613,0.001919896,-0.070486983,-1.030322979,-0.071055786,0.028966233,-0.249268006,-0.054429882,0.027457773,0.000753929,-0.05762268,-0.928706093,0.147003656,0.021031296,-0.172637302,0.006067339,0.05242783,0.002748677,0.001676044,2897.542133,51.2911027,3.372897324,0,0.000318173,0.00067279,4.52646e-07,0.000129823,1284.680952,28.53670018,0.035471622,0
ws31_T2,1,311.2125,0.717728064,0.362622928,0.131495388,0.7355,-0.375306488,0.133713001,1.7435,-0.0523,-0.045836299,0.119874907,0.014369993,-0.0449,-0.221239931,0.102894738,0.555,-0.3862,-0.076128351,0.163771246,0.026821021,-0.0378,-0.819186902,-0.350705075,0.3974,-0.5973,-0.018581197,0.058840455,0.003462199,0.000127093,-0.571864141,-0.641183375,0.134845013,-0.281944634,0.067986207,0.106837986,0.011414355,0.038128904,-0.552326511,0.645073925,0.390796305,-0.098462632,-0.204128283,0.129079817,0.016661599,-0.230253314,-0.323459405,0.75816432,0.142842306,-0.452001785,0.822962733,1.253545394,1.571376056,0.401232121,7.163144096,2.510357814,10.32345395,0,0.008660522,0.009226938,8.51364e-05,0.005007645,1.357029992,1.319900273,0.059301393,0
ww25_T2,1,311.2125,-0.566372213,0.434169486,0.188503143,-0.7218,-1.246297227,0.364116176,0.4689,-2.3534,1.081527489,0.547545452,0.299806022,1.2973,-1.053630111,-0.46294049,3.243,-0.0362,-1.252747164,0.619974881,0.384368853,-1.4774,-1.012635277,0.471150301,0.1127,-3.3234,-0.441179141,0.215177929,0.046301541,-0.524997252,-0.901122862,0.492833614,0.020467013,-1.326982388,-0.074464203,0.060240711,0.003628943,-0.097328943,-0.748983139,0.242533204,0.056678071,-0.409396384,0.085201787,0.081146035,0.006584679,0.118487286,-0.789400197,-0.554059012,0.426177436,-0.161671773,23.82745267,29.05558164,844.2268246,19.22384709,173.5341832,8.601987682,733.8264606,0,0.106023227,0.147558281,0.021773446,0.09131411,321.8494221,13.48839212,4.356129255,0
xi27_T2,1,330.7625,0.239061725,0.355641315,0.126480745,0.29705,0.116821013,0.287611678,1.4741,-0.5053,-0.006819673,0.325616818,0.106026312,0.1123,-0.443282956,-0.881796616,0.7212,-0.8852,-0.299806784,0.29574545,0.087465371,-0.3874,-0.996404625,0.420862034,0.4227,-0.9188,-0.01734908,0.127898835,0.016358112,-0.056031119,-0.551780805,0.725514203,0.321219565,-0.252144493,0.061315273,0.083554464,0.006981348,0.079176096,-0.590973764,0.067947819,0.297792811,-0.10974349,0.001522352,0.08300786,0.006890305,0.01771325,1.188590568,-0.991250017,0.182388417,-0.332015542,0.361224951,0.781219426,0.610303791,0.17027602,46.04045361,6.00040658,8.917826729,0,0.002621527,0.00688998,4.74718e-05,0.000425753,24.23056815,4.585920115,0.068192705,0
xx54_T2,1,311.225,0.075559999,0.042620771,0.00181653,0.0867,-0.22910486,-0.625373908,0.2199,-0.0556,-0.306925038,0.104736556,0.010969746,-0.30225,-0.013324176,-0.493285271,0.0,-0.6883,0.119819854,0.066708446,0.004450017,0.1193,-0.628648051,0.079553122,0.338,-0.0831,0.098919771,0.033510226,0.001122935,0.098117874,-0.292562985,0.282699473,0.218817995,-0.001494527,0.036294202,0.014327497,0.000205277,0.040679445,0.317682649,-1.049609366,0.075324301,-0.014332885,0.034078435,0.00904,8.17216e-05,0.033818622,0.582939097,0.273493469,0.080579714,0.0,0.024340372,0.03287446,0.00108073,0.013170874,12.00244682,3.024706193,0.282763603,0,0.000241527,0.000273855,7.49964e-08,0.000152068,8.989253766,2.583301732,0.002704196,0
yv98_T2,1,311.2125,0.067666634,0.230022059,0.052910148,0.01865,-0.819689728,0.557263371,0.8124,-0.3209,1.036937545,0.518524776,0.268867943,0.88645,-1.400555588,0.206469077,1.9249,-0.0691,-0.948022341,0.442177498,0.195520939,-0.835,-1.25085195,-0.202110901,0.0422,-1.7815,-0.488740764,0.230075468,0.052934721,-0.453805117,-1.271561756,-0.172452604,0.020457892,-0.885192738,-0.024619508,0.03144459,0.000988762,-0.020828982,0.318874336,0.043120692,0.172165993,-0.109416686,-0.029601863,0.061298289,0.00375748,-0.033206365,-0.591404577,-0.063173461,0.107294829,-0.180707459,10.2716001,12.62252527,159.3281442,2.973740598,-0.626709649,0.98063754,46.84581273,0,0.144270214,0.176582455,0.031181363,0.045432213,-0.621201486,0.993383558,0.616588433,0
au70_PD,1,311.7125,0.069674183,0.053450221,0.002856926,0.0837,1.131435583,-0.142719073,0.4286,-0.08794,0.022367639,0.146025594,0.021323474,0.04266,-0.846885067,-0.428034114,0.29648,-0.46401,0.015691027,0.062522175,0.003909022,0.0062,3.868846913,1.457136586,0.3531,-0.1407,-0.008083743,0.04809503,0.002313132,-0.014170438,-0.748987363,0.41596598,0.166901805,-0.117748234,0.017286954,0.017454521,0.00030466,0.020343275,1.593943248,-0.05580596,0.148403792,-0.031158227,-0.002876538,0.008306832,6.90035e-05,-0.002943434,2.429724249,-0.375541648,0.028503906,-0.062350184,0.001976129,0.00529746,2.80631e-05,0.000778678,120.2018964,9.242318465,0.110698177,0,1.57981e-05,3.41577e-05,1.16675e-09,6.57406e-06,110.519153,8.468643879,0.000790163,0
