subj,PMC,total time,mean x,std x,var x,median x,kurtosis x,skewness x,max x,min x,mean y,std y,var y,median y,kurtosis y,skewness y,max y,min y,mean z,std z,var z,median z,kurtosis z,skewness z,max z,min z,mean Rx,std Rx,var Rx,median Rx,kurtosis Rx,skewness Rx,max Rx,min Rx,mean Ry,std Ry,var Ry,median Ry,kurtosis Ry,skewness Ry,max Ry,min Ry,mean Rz,std Rz,var Rz,median Rz,kurtosis Rz,skewness Rz,max Rz,min Rz,mean tt,std tt,var tt,median tt,kurtosis tt,skewness tt,max tt,min tt,mean tr,std tr,var tr,median tr,kurtosis tr,skewness tr,max tr,min tr
au70_T1,0,722.975,0.368636784313,0.191324253654,0.0366049700363,0.47225,-0.887450271778,-0.82233190444,0.62874,-0.08288,-0.393511666663,0.208478176816,0.0434631502084,-0.50271,-1.36523591882,0.466461744357,0.22816,-0.858819,-0.0896998700608,0.113831643192,0.0129576429917,-0.1056,-1.02339395747,0.103348686072,0.2009,-0.3626,0.0913364286865,0.0610670099302,0.00372917970181,0.11431200803,-1.34454471495,-0.360620049391,0.239641064283,-0.12345813184,0.109209856706,0.0634587628717,0.00402701458521,0.140786968271,-1.05500787588,-0.703412938775,0.194981642517,-0.0321791936045,-0.0279750247271,0.0156819182308,0.000245922559398,-0.0262549382841,-0.00932836203187,-0.378347342412,0.0308031772752,-0.09605016543,0.223391277378,0.186691115504,0.0348535726083,0.273283204345,-1.54730954519,-0.0141659019597,0.905278201333,0,0.00125816650896,0.00111151422485,1.23546387204e-06,0.00131465866671,-1.40302775652,0.186955168407,0.00497281911063,0
dl43_T1,0,723.0,0.245412661032,0.149081705173,0.0222253548172,0.3054,-0.913414976141,-0.705119948932,0.4859,-0.123,0.170550753029,0.132392829784,0.0175278613782,0.1679,-0.509661933855,-0.104646580783,0.5472,-0.2135,-0.305079008007,0.202523369952,0.0410157153767,-0.2943,-0.86753968707,0.152005731129,0.2696,-0.764,-0.0860418539462,0.0598278630099,0.00357937319233,-0.0913764194127,-0.496318143221,0.391383785115,0.0934047372571,-0.251882346553,0.117342677991,0.0805880206457,0.0064944290716,0.147688278935,-1.21889443068,-0.50742136436,0.246889535933,-0.0462024995769,-0.00705578310427,0.0208689899542,0.000435514741707,-0.00890500234563,-0.1408895512,0.461562104424,0.0723936252942,-0.0596333478267,0.116355497255,0.146916295745,0.0215843979554,0.054798544781,1.91357353271,1.52754341135,1.04055422972,0,0.00164831020113,0.00192259430551,3.69636886358e-06,0.000955547514824,0.476440304278,1.19742798386,0.0110242596365,0
dn20_T1,0,722.975,-0.0525425507691,0.0906765215699,0.00822223156402,-0.056,4.0962366994,0.71923133656,0.9134,-0.4154,0.197264125633,0.150589145505,0.022677090744,0.172,-1.0376788507,0.38755846412,0.5816,-0.0792,-0.49464449862,0.31955025143,0.102112363189,-0.4695,-1.10268250163,-0.222189101565,0.1145,-1.218,-0.143243494151,0.106265705365,0.0112924001367,-0.129481208905,-1.18491108418,-0.293682443892,0.0483939968714,-0.387274945684,0.114090303724,0.0859078139135,0.0073801524914,0.0917353077745,-1.11801899973,0.385419402594,0.342899075017,-0.0398870568016,0.138304565451,0.100567986231,0.0101139198546,0.12506422242,-1.43685218441,0.224513558288,0.367932813588,-0.0439776450759,0.357565376371,0.554210148559,0.307148888766,0.066357790912,2.30865236116,1.78321179034,3.35052421209,0,0.0143629042944,0.0221156891357,0.000489103705945,0.0019364766521,1.56082482433,1.6460438481,0.116435586509,0
dp20_T1,0,722.9875,1.56471366805,0.868336380342,0.754008069426,1.63338,-1.07249425054,-0.0317595576572,3.24878,-0.94981,0.38006382405,0.387185240965,0.149912410821,0.2799,-1.02468784912,0.471546896394,1.28213,-0.26136,-0.239139228037,0.381665941615,0.145668890989,-0.1418,0.0557331324758,-0.932489625451,0.336,-1.6317,-0.187532202851,0.154372097626,0.0238307445255,-0.148424448028,-0.936607333854,-0.544898988518,0.0522755433845,-0.598431568593,0.437245229102,0.29876544006,0.0892607881744,0.3714358186,-1.26620877601,0.350200514524,1.00236258361,-0.0414863460092,-0.143031466621,0.0690746696824,0.00477130999173,-0.149444781644,0.00704018342389,0.317354116502,0.209175023151,-0.302055042576,25.1255571802,35.6682505695,1272.22409869,7.97406012403,1.56505743859,1.59209626998,162.191702731,0,0.272554567168,0.402085985757,0.161673139942,0.0404052728763,0.405616194625,1.35537782935,1.62701765185,0
iy25_T1,0,722.9875,0.0221005915329,0.0432424517541,0.0018699096337,0.02133,-0.4311943834,-0.0729287795411,0.1455,-0.17431,0.231353187224,0.104684027215,0.0109587455539,0.2407,0.358579440466,-0.323438803544,0.6019,-0.099,-0.19195624551,0.176045774802,0.0309921148257,-0.207471,-0.121230138821,0.452112394398,0.518779,-0.722011,-0.0925182794905,0.0413521465697,0.00171000002592,-0.0946035290974,0.693504886704,0.108248977672,0.0534970654884,-0.460068839597,0.0127697960636,0.0158155353213,0.0002501311575,0.0125656667671,-0.39875476259,0.0151472438757,0.0629793878533,-0.0525517124402,-0.0158153689564,0.0183747744993,0.0003376323379,-0.0164778940382,0.238508946607,0.230812832631,0.0669088710039,-0.0969380371124,0.0256025627815,0.0296833976445,0.000881104095723,0.0160088321076,8.19902284063,2.26086147345,0.382762813601,0,0.000193152559081,0.000422545806152,1.78544958297e-07,0.000103247860147,2806.44249256,35.1538984935,0.048942976845,0
kc73_T1,0,722.9875,0.058011371614,0.398693849995,0.158956786024,0.01342,-0.753843061459,-0.0600445384092,0.94968,-1.08665,-0.976956067949,0.635598094106,0.403984937231,-1.08259,-0.915948543645,0.146655826258,0.68429,-2.44433,0.537877813614,0.509929380906,0.260027973512,0.5738,-0.305647805478,0.0882761632977,2.42341,-0.737,0.377622118253,0.255182422366,0.0651180686848,0.419210281634,-0.915976387765,-0.138010845105,0.97006331269,-0.2759715929,0.168391671883,0.0934559365346,0.00873401207357,0.187834745264,-0.532483771753,-0.631190870596,0.340698542911,-0.173690693609,0.113094470152,0.103904844335,0.0107962166762,0.0952750500654,0.0820826190923,0.37491933244,0.441483093182,-0.205794570535,7.66784063578,12.4372814072,154.685968801,3.57055472247,15.5113475234,3.34668666991,136.881104014,0,0.121764179143,0.174110162649,0.0303143487378,0.0498346269861,6.24520164356,2.2973874864,1.38220198754,0
me21_T1,0,722.925,1.24494601705,1.05442201468,1.11180578505,1.434,-0.673647977232,-0.238153904349,3.457,-0.965,-2.43388129246,1.09269148037,1.19397467127,-2.7862,-0.568847503707,0.811883058501,0.1168,-4.6171,2.54337950301,1.30089510984,1.69232808681,2.5731,0.179497316542,0.433173237928,6.2836,-0.088,0.990406011609,0.439144050193,0.19284749682,1.09556593188,-0.562274453412,-0.614725240354,1.97228971885,-0.0405836446199,0.687334428501,0.31370834698,0.0984129269648,0.70730557577,-0.851552659938,-0.525432603435,1.20027111156,-0.0712209854127,0.152881350026,0.160279821684,0.0256896212392,0.190320164381,0.871301936229,-0.987142449932,0.48618976464,-0.372516842246,521.697315811,737.041695921,543230.461526,276.425004242,3.92785315167,2.16595529304,4346.65962625,0,4.49065070085,4.33000091404,18.7489079156,2.98382204679,0.105646125724,0.926690820178,27.3663808695,0
mf79_T1,0,723.0,-1.65398401995,1.11009288294,1.23230620874,-1.1834,-1.53957501793,-0.344478870373,0.5608,-3.577,-0.514182873078,0.197022545874,0.0388178835828,-0.54921,14.1664500481,2.45616661791,2.08419,-1.32621,1.02278480082,0.315377453245,0.0994629380152,1.0578,0.0206883301015,-0.483039576221,1.9218,-0.8394,0.226835776353,0.0772750703556,0.00597143649847,0.241475950558,9.32398691921,-1.9789524178,0.539032676329,-0.701890156567,-0.166496407061,0.132773352146,0.01762876304,-0.154707254135,-1.34562968361,-0.142077761731,0.28614629554,-0.444400688945,0.526845135366,0.316188377656,0.0999750901645,0.388269330808,-1.23503086467,0.412497699714,1.36223109816,-0.0708494089213,49.7874182604,59.7316512251,3567.87015808,10.3119965208,-0.996639524306,0.777831333631,215.265249518,0,0.403044963041,0.527963856319,0.278745833579,0.0657985276337,1.10351898145,1.31148132838,3.52767425224,0
nv85_T1,0,723.0,0.303042943062,0.488317543947,0.238454023727,0.4045,0.790626262344,-0.964384667658,1.2627,-1.4679,0.248725859876,0.311930872745,0.0973008693713,0.2286672,0.0968114445355,0.13007378783,1.50399,-0.75179,-0.831611910337,0.44969986059,0.202229964614,-0.81829,0.0831000561161,0.0488083083522,0.7183,-2.15422,-0.140051490725,0.100907678328,0.0101823595455,-0.151262867922,1.00137981627,0.678209655501,0.330282838293,-0.497828886793,-0.0569025328466,0.0552286360455,0.00305020223945,-0.0608779112192,-0.188675534406,0.0415831173652,0.102338060067,-0.220207603576,-0.178419033413,0.149327734589,0.0222987723175,-0.206363000188,0.861842495971,0.921045836683,0.388252612678,-0.521011928623,2.94137916604,4.68596925622,21.9583078703,1.176305554,10.9581420263,3.04323307685,52.8802354257,0,0.0102675839671,0.00968639173157,9.38261847774e-05,0.00805695726615,6.87858685067,1.87040201321,0.115666586253,0
pa30_T1,0,722.9875,-0.402125518829,0.387041355987,0.149801011244,-0.5858,-0.0704309041334,1.00925895472,1.2187,-0.9382,-0.245171149777,0.125645748696,0.0157868541655,-0.271,2.21319396605,0.90301014804,0.8145,-0.954,-0.323657301966,0.174506245285,0.0304524296436,-0.3469,-0.0373968075832,0.5381573922,0.4569,-0.8388,0.0634548854924,0.0536242069082,0.00287555556653,0.0678360510396,1.8609021914,-0.451798877567,0.358730847752,-0.420334049195,-0.0192769171688,0.125961849484,0.0158663875254,-0.0409045955728,-1.09042311221,0.370350259272,0.557101204336,-0.222742413392,0.105468462759,0.0942590128505,0.00888476150355,0.0944601410975,-1.24439814798,-0.185777726511,0.372782763627,-0.118128850484,0.359896346976,0.314591115528,0.0989675699694,0.360638166567,6.80692831611,1.01049775681,6.53413032183,0,0.00226793066167,0.00313205787394,9.80978652573e-06,0.00189344904221,1740.40473797,30.3081915754,0.24172330282,0
